RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Alexandre Pantoja,Kai Asakura,-250.0,215.0,40.0,215.0,1
Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,47.619,295.0,1
Ciryl Gane,Alexander Volkov,-380.0,300.0,26.3158,300.0,1
Bryce Mitchell,Kron Gracie,-950.0,625.0,10.5263,625.0,1
Nate Landwehr,Dooho Choi,-130.0,110.0,76.9231,110.0,0
Dominick Reyes,Anthony Smith,-380.0,300.0,26.3158,300.0,1
Vicente Luque,Themba Gorimbo,-650.0,-162.0,15.3846,61.7284,1
Movsar Evloev,Aljamain Sterling,-238.0,195.0,42.0168,195.0,1
Randy Brown,Bryan Battle,150.0,-180.0,150.0,55.5556,0
Chris Weidman,Eryk Anders,-112.0,-108.0,89.2857,92.5926,0
Cody Durden,Joshua Van,142.0,-170.0,142.0,58.8235,0
Michael Chiesa,Max Griffin,-130.0,110.0,76.9231,110.0,1
Clay Guida,Chase Hooper,700.0,-1100.0,700.0,9.0909,0
Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,18.1818,410.0,1
Petr Yan,Deiveson Figueiredo,-305.0,245.0,32.7869,245.0,1
Yan Xiaonan,Tabatha Ricci,-198.0,164.0,50.5051,164.0,1
Wang Cong,Gabriella Fernandes,-950.0,750.0,10.5263,750.0,0
Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,215.0,37.7358,0
Zhang Mingyang,Ozzy Diaz,-225.0,210.0,44.4444,210.0,1
Baergeng Jieleyisi,SuYoung You,190.0,-230.0,190.0,43.4783,0
Kiru Sahota,DongHun Choi,102.0,-122.0,102.0,81.9672,0
Shi Ming,Feng Xiaocan,380.0,-490.0,380.0,20.4082,1
Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,102.0,81.9672,0
Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,32.2581,250.0,1
Xiao Long,Quang Le,-144.0,136.0,69.4444,136.0,1
Maheshate,Nikolas Motta,-245.0,200.0,40.8163,200.0,0
Jon Jones,Stipe Miocic,-550.0,410.0,18.1818,410.0,1
Charles Oliveira,Michael Chandler,-265.0,215.0,37.7358,215.0,1
Bo Nickal,Paul Craig,-1350.0,800.0,7.4074,800.0,1
